# Physical map for GigaMUGA chromosome 7
# nrow 6383
# ncol  3 
marker,chr,pos
JAX00148221,7,3.130432
JAX00631073,7,3.131436
JAX00148222,7,3.135504
UNCHS019420,7,3.157679
UNC12367710,7,3.221337
UNCHS019421,7,3.230605
UNCHS019422,7,3.233459
ICR1780,7,3.301597
ICR5780,7,3.302603
UNCHS019425,7,3.317699
UNCHS019426,7,3.322366
UNCHS019428,7,3.384891
UNC12370256,7,3.419086
UNC12371610,7,3.509869
JAX00631082,7,3.593721
UNC12372829,7,3.64904
UNC12373496,7,3.715292
JAX00631112,7,3.932315
JAX00631114,7,3.939559
UNC12373855,7,3.939989
JAX00631117,7,3.962585
JAX00148247,7,4.01148
JAX00148249,7,4.056046
UNC12375156,7,4.10034
UNCHS019429,7,4.127273
UNCHS019430,7,4.140133
UNC12375684,7,4.14165
JAX00148260,7,4.215253
UNC12376566,7,4.240464
JAX00190001,7,4.350873
JAX00631167,7,4.368587
UNCHS019432,7,4.382715
JAX00631171,7,4.405836
JAX00631177,7,4.444334
UNC12380039,7,4.600395
UNCHS019433,7,4.661442
UNCHS019434,7,4.666549
UNC12380978,7,4.687903
UNC12381586,7,4.738478
JAX00631225,7,4.741531
UNCHS019435,7,4.772271
UNCHS019436,7,4.77835
UNC12382380,7,4.818048
JAX00631240,7,4.825508
UNCHS019437,7,4.846366
UNCHS019438,7,4.849461
UNC12384210,7,4.952764
UNC12385212,7,5.037629
UNCHS019439,7,5.089499
JAX00631330,7,5.110506
JAX00231299,7,5.12231
UNC12387094,7,5.285177
JAX00631348,7,5.336877
UNC12388018,7,5.367717
JAX00631360,7,5.41241
UNCHS019444,7,6.044376
UNC12393002,7,6.190901
JAX00631423,7,6.206919
JAX00631423r,7,6.206919
UNC12393524,7,6.232354
JAX00631431,7,6.279428
UNC12395307,7,6.338637
UNC12396268,7,6.397361
UNC12397154,7,6.445725
JAX00231327,7,6.459553
UNC12398366,7,6.527001
JAX00631493,7,6.564915
JAX00631494,7,6.567791
UNC12400258,7,6.677334
UNCHS019447,7,6.688876
UNCHS019448,7,6.692091
UNC12400809,7,6.744048
UNC12400911,7,6.753782
UNC12400995,7,6.760433
UNC12401028,7,6.766475
UNC12401136,7,6.780486
UNC12401207,7,6.78696
UNC12401245,7,6.791335
UNC12401354,7,6.80214
UNC12401384,7,6.805855
UNC12401460,7,6.813538
UNC12401560,7,6.827036
UNC12401735,7,6.84478
UNC12401831,7,6.854561
UNC12401981,7,6.866359
UNC12402068,7,6.872906
JAX00631550,7,6.878448
UNC12402112,7,6.879476
UNC12402170,7,6.884524
JAX00148458,7,6.900969
UNC12402262,7,6.903684
UNCHS019449,7,6.926121
UNCHS019450,7,6.936426
UNC12404061,7,7.0919
JAX00631582,7,7.118049
JAX00631585,7,7.133808
cr28snv150,7,8.49126
ICR1784,7,10.020858
UNC12405664,7,10.135271
ICR1786,7,10.18074
JAX00631684,7,10.260352
ICR1788,7,10.352285
UNCHS019451,7,10.36671
UNCHS019452,7,10.369464
UNC12407732,7,10.433317
ICR5789,7,10.440271
JAX00631718,7,10.510042
JAX00631719,7,10.516759
JAX00148593,7,10.519813
JAX00631730,7,10.537587
JAX00148599,7,10.604911
ICR1791,7,10.616361
ICR5791,7,10.616478
UNCHS019453,7,10.660906
JAX00631757,7,10.727941
UNC12410649,7,10.73598
JAX00631769,7,10.884884
UNC12411555,7,10.920649
UNC12412010,7,11.19375
JAX00148668,7,11.652215
UNCHS019455,7,11.657016
UNCHS019456,7,11.662867
UNC12413647,7,11.724042
UNCHS019457,7,11.732881
UNCHS019458,7,11.735482
ICR1801,7,11.736393
UNC12416196,7,11.930346
ICR1803,7,11.934046
JAX00631842,7,11.953268
UNCHS019460,7,11.953578
ICR1804,7,11.997055
JAX00631898,7,12.151569
ICR1807,7,12.260831
JAX00148715,7,12.26896
UNC12420706,7,12.300147
UNCHS019464,7,12.30191
JAX00631922,7,12.305305
ICR1809,7,12.445413
JAX00631946,7,12.446893
ICR5809,7,12.451909
UNC12422348,7,12.477383
JAX00148734,7,12.519895
ICR1811,7,12.60921
ICR5811,7,12.614532
UNCHS019465,7,12.713712
UNCHS019466,7,12.718321
JAX00231381,7,12.806513
JAX00631992,7,12.831359
UNCHS019467,7,12.843858
UNCHS019468,7,12.848951
UNC12426177,7,12.917476
JAX00632055,7,12.973796
ICR1814,7,12.988057
UNCHS019469,7,12.996702
UNCHS019470,7,12.999096
JAX00632072,7,13.014253
JAX00148771,7,13.022416
UNCHS019471,7,13.03807
UNCHS019472,7,13.041506
ICR1815,7,13.069081
JAX00148777,7,13.130555
JAX00632083,7,13.131663
JAX00148779,7,13.132562
ICR2059,7,13.197767
ICR5816,7,13.197767
ICR1817,7,13.251264
ICR5817,7,13.273685
UNCHS019473,7,13.299269
UNCHS019474,7,13.304598
JAX00632117,7,13.30639
UNCHS019475,7,13.340229
UNCHS019476,7,13.345059
JAX00190013,7,13.480197
JAX00632143,7,13.570531
JAX00632144,7,13.572157
UNC12432782,7,13.574759
ICR5823,7,13.800146
JAX00632163,7,13.814779
JAX00632192,7,13.963647
UNCHS019478,7,14.041081
JAX00632199,7,14.112473
JAX00148856,7,14.238771
ICR1827,7,14.244336
JAX00632235,7,14.363061
JAX00148872,7,14.44722
JAX00632246,7,14.447941
ICR5829,7,14.4557
UNCHS019479,7,14.480308
ICR5830,7,14.516647
UNCHS019482,7,14.542641
JAX00632264,7,14.548495
JAX00148881,7,14.569252
JAX00723909,7,15.024643
JAX00632298,7,15.58814
JAX00148930,7,15.791119
JAX00148939,7,15.901407
JAX00148939q,7,15.901407
UNCHS019489,7,15.933129
UNCHS019490,7,15.936042
UNCHS019492,7,15.96305
JAX00632340,7,16.040508
UNC12446199,7,16.041578
UNCHS019493,7,16.043606
UNCHS019494,7,16.046181
UNC12447278,7,16.153977
UNCHS019495,7,16.163278
JAX00231454,7,16.167458
UNCHS019496,7,16.169342
JAX00632395,7,16.210994
UNC12448565,7,16.232225
UNC12449039,7,16.2685
UNCHS019497,7,16.337783
UNCHS019498,7,16.341068
JAX00632426,7,16.361697
UNC12450656,7,16.399267
UNCHS019499,7,16.441568
UNC12451571,7,16.484657
JAX00632451,7,16.507803
UNCHS019502,7,16.535853
JAX00632466,7,16.573648
UNC12453165,7,16.638483
UNCHS019506,7,16.644117
UNC12453743,7,16.673266
JAX00148996,7,16.67416
JAX00632487,7,16.692359
UNC12455630,7,16.7698
UNC12455891,7,16.785596
JAX00632520,7,16.836852
JAX00149009,7,16.844636
UNC12457155,7,16.878885
UNCHS019508,7,16.911594
UNC12459104,7,17.009797
UNCHS019509,7,17.01439
UNC12459172,7,17.014559
UNCHS019510,7,17.01693
JAX00632555,7,17.022025
UNC12460173,7,17.086182
JAX00632576,7,17.100518
UNCHS019512,7,17.13412
JAX00632589,7,17.156247
UNC12460972,7,17.159155
UNC12461352,7,17.204755
UNC12462887,7,17.633823
JAX00632646,7,17.639496
UNC12463289,7,17.6752
UNCHS019513,7,17.691585
UNC12463533,7,17.715815
UNC12463826,7,17.761987
UNC12464446,7,17.815354
UNC12464737,7,17.864531
JAX00149072,7,17.869344
UNC12466249,7,17.955244
JAX00632720,7,17.975919
UNCHS019515,7,18.018479
UNC12467217,7,18.019188
