# Physical map for GigaMUGA chromosome 5
# nrow 6649
# ncol  3 
marker,chr,pos
ICR1522,5,3.043534
UNCHS013411,5,3.044341
UNCHS013412,5,3.053215
ICR5524,5,3.121556
UNC8539874,5,3.216464
ICR1527,5,3.249468
ICR5527,5,3.267476
ICR1528,5,3.304079
ICR1529,5,3.336081
JAX00572244,5,3.360867
UNCHS013415,5,3.363243
UNCHS013416,5,3.365517
ICR5530,5,3.396962
ICR1531,5,3.424938
UNCHS013418,5,3.484904
UNC8542083,5,3.531108
JAX00126493,5,3.573847
JAX00126493q,5,3.573847
UNC8542757,5,3.583415
JAX00572282,5,3.60948
UNCHS013419,5,3.717593
UNCHS013420,5,3.720079
JAX00126504,5,3.73565
UNC8543985,5,3.744445
UNCHS013421,5,3.779673
UNCHS013422,5,3.785308
UNCHS013424,5,3.810516
JAX00572303,5,3.819402
UNCHS013425,5,3.911076
UNCHS013426,5,3.913502
UNC8545548,5,3.92914
JAX00572335,5,3.950207
UNCHS013428,5,3.977141
UNCHS013429,5,3.995668
UNC8546898,5,4.024372
UNCHS013431,5,4.02462
JAX00572362,5,4.025022
UNCHS013433,5,4.036515
UNCHS013434,5,4.039222
JAX00126530,5,4.071106
UNCHS013435,5,4.076668
UNCHS013436,5,4.082858
JAX00572406,5,4.193739
UNC8549503,5,4.246073
JAX00572431,5,4.265029
UNCHS013437,5,4.279109
UNCHS013438,5,4.28246
UNCHS013439,5,4.326862
UNCHS013440,5,4.330346
UNC8551116,5,4.356749
CEAJAX00126552,5,4.364099
UNCJPD008200,5,4.385413
UNC8551996,5,4.428504
JAX00572486,5,4.490601
JAX00572486r,5,4.490601
UNCHS013441,5,4.562663
ICR1532,5,4.576435
ICR5532,5,4.580496
JAX00572500,5,4.59455
UNCHS013443,5,4.619329
UNC8554223,5,4.62071
UNCHS013444,5,4.622219
JAX00572508,5,4.626787
ICR1533,5,4.669055
ICR5533,5,4.675915
JAX00126578,5,4.687735
UNC8555119,5,4.696515
ICR1534,5,4.753113
ICR5534,5,4.753192
UNC8556320,5,4.80413
JAX00225272,5,4.828139
ICR1535,5,4.856727
ICR5535,5,4.857387
ICR1536,5,4.946565
UNC8559748,5,5.015411
ICR1537,5,5.02867
ICR5537,5,5.028748
JAX00572632,5,5.049259
UNCHS013445,5,5.100851
ICR1538,5,5.104733
UNCHS013446,5,5.104871
UNC8561659,5,5.14906
JAX00572660,5,5.162833
ICR5539,5,5.192546
JAX00572671,5,5.243496
ICR1540,5,5.289232
ICR5540,5,5.293075
UNC8564033,5,5.296648
UNCHS013449,5,5.320347
UNCHS013450,5,5.323122
UNCHS013451,5,5.368901
ICR1541,5,5.372173
UNCHS013452,5,5.372439
JAX00572722,5,5.375899
UNC8565506,5,5.391111
UNCHS013454,5,5.391111
JAX00572728,5,5.442694
JAX00572735,5,5.479463
UNCHS013455,5,5.503889
UNCHS013456,5,5.509225
UNC8567265,5,5.518793
ICR1542,5,5.561632
ICR5542,5,5.56271
UNCHS013458,5,5.619932
UNC8568633,5,5.620553
UNCHS013459,5,5.644611
UNCHS013460,5,5.647946
JAX00572799,5,5.677848
JAX00572809,5,5.716461
ICR1544,5,5.737336
UNC8570153,5,5.742033
ICR5544,5,5.74223
UNCHS013461,5,5.823665
UNCHS013462,5,5.827296
ICR1546,5,5.917588
JAX00572857,5,5.92649
JAX00572871,5,5.953136
JAX00572882,5,6.043287
ICR1548,5,6.12005
UNC8576083,5,6.127691
JAX00572911,5,6.184027
UNCHS013463,5,6.234584
UNC8577252,5,6.239661
UNCHS013464,5,6.243425
JAX00572914,5,6.254544
JAX00126695,5,6.255081
JAX00572915,5,6.270259
ICR1550,5,6.278023
